dataset,t_center_s,dNdt_per_s,t_align_s,align_ref,t_ref_s
FAPI,0.01,100.0,-0.08,t_peak_rate,0.09
FAPI,0.03,200.0,-0.06,t_peak_rate,0.09
FAPI,0.05,250.0,-0.039999999999999994,t_peak_rate,0.09
FAPI,0.07,100.0,-0.01999999999999999,t_peak_rate,0.09
FAPI,0.09,950.0,0.0,t_peak_rate,0.09
FAPI,0.11,0.0,0.020000000000000004,t_peak_rate,0.09
FAPI,0.13,100.0,0.04000000000000001,t_peak_rate,0.09
FAPI,0.15,50.0,0.06,t_peak_rate,0.09
FAPI,0.17,0.0,0.08000000000000002,t_peak_rate,0.09
FAPI,0.19,0.0,0.1,t_peak_rate,0.09
FAPI,0.21,0.0,0.12,t_peak_rate,0.09
FAPI,0.23,100.0,0.14,t_peak_rate,0.09
FAPI,0.25,50.0,0.16,t_peak_rate,0.09
FAPI,0.27,50.0,0.18000000000000002,t_peak_rate,0.09
FAPI,0.29,0.0,0.19999999999999998,t_peak_rate,0.09
FAPI,0.31,0.0,0.22,t_peak_rate,0.09
FAPI,0.33,50.0,0.24000000000000002,t_peak_rate,0.09
FAPI,0.35,50.0,0.26,t_peak_rate,0.09
FAPI,0.37,50.0,0.28,t_peak_rate,0.09
FAPI,0.39,50.0,0.30000000000000004,t_peak_rate,0.09
FAPI-TEMPO,0.05,450.0,0.0,t_peak_rate,0.05
FAPI-TEMPO,0.07,150.0,0.020000000000000004,t_peak_rate,0.05
FAPI-TEMPO,0.09,150.0,0.039999999999999994,t_peak_rate,0.05
FAPI-TEMPO,0.11,0.0,0.06,t_peak_rate,0.05
FAPI-TEMPO,0.13,0.0,0.08,t_peak_rate,0.05
FAPI-TEMPO,0.15,200.0,0.09999999999999999,t_peak_rate,0.05
FAPI-TEMPO,0.17,0.0,0.12000000000000001,t_peak_rate,0.05
FAPI-TEMPO,0.19,0.0,0.14,t_peak_rate,0.05
FAPI-TEMPO,0.21,0.0,0.15999999999999998,t_peak_rate,0.05
FAPI-TEMPO,0.23,150.0,0.18,t_peak_rate,0.05
FAPI-TEMPO,0.25,100.0,0.2,t_peak_rate,0.05
