dataset,metric,value
FAPI,tau_available,True
FAPI,n_rows,43
FAPI,tau_ms_min,0.4
FAPI,tau_ms_median,54.12470746942737
FAPI,tau_ms_mean,76.49196127149307
FAPI,tau_ms_max,319.9999999999999
FAPI,has_fit_r2,False
FAPI,fit_r2_n,0
FAPI,has_fit_nrmse_range,False
FAPI,fit_nrmse_range_n,0
FAPI,has_fit_window_over_tau,False
FAPI,fit_window_over_tau_n,0
FAPI,has_n_points,False
FAPI,n_points_n,0
FAPI,fit_r2_warn_lt_0p90_count,0
FAPI,fit_nrmse_range_warn_gt_0p20_count,0
FAPI,fit_window_over_tau_warn_lt_1p0_count,0
FAPI,has_tau_source_status,True
FAPI,tau_source_status__provided_tau_fits,43
FAPI,has_fit_status,True
FAPI,fit_status__NA,43
FAPI-TEMPO,tau_available,True
FAPI-TEMPO,n_rows,239
FAPI-TEMPO,tau_ms_min,7.713839214127428
FAPI-TEMPO,tau_ms_median,104.1185670105966
FAPI-TEMPO,tau_ms_mean,4224.0368366453185
FAPI-TEMPO,tau_ms_max,933571.455733871
FAPI-TEMPO,has_fit_r2,True
FAPI-TEMPO,fit_r2_n,239
FAPI-TEMPO,fit_r2_min,-0.0104519775616691
FAPI-TEMPO,fit_r2_median,0.6825753096348162
FAPI-TEMPO,fit_r2_mean,0.6326038973700299
FAPI-TEMPO,fit_r2_max,0.9980536169305746
FAPI-TEMPO,has_fit_nrmse_range,True
FAPI-TEMPO,fit_nrmse_range_n,239
FAPI-TEMPO,fit_nrmse_range_min,0.0013630756615679
FAPI-TEMPO,fit_nrmse_range_median,0.105734337800075
FAPI-TEMPO,fit_nrmse_range_mean,0.11520073088941168
FAPI-TEMPO,fit_nrmse_range_max,0.7322322559175802
FAPI-TEMPO,has_fit_window_over_tau,True
FAPI-TEMPO,fit_window_over_tau_n,239
FAPI-TEMPO,fit_window_over_tau_min,2.142310572711138e-05
FAPI-TEMPO,fit_window_over_tau_median,0.9562082746148908
FAPI-TEMPO,fit_window_over_tau_mean,1.279970907064053
FAPI-TEMPO,fit_window_over_tau_max,3.689742686588196
FAPI-TEMPO,has_n_points,True
FAPI-TEMPO,n_points_n,239
FAPI-TEMPO,n_points_min,8.0
FAPI-TEMPO,n_points_median,75.0
FAPI-TEMPO,n_points_mean,88.81589958158996
FAPI-TEMPO,n_points_max,184.0
FAPI-TEMPO,fit_r2_warn_lt_0p90_count,162
FAPI-TEMPO,fit_nrmse_range_warn_gt_0p20_count,25
FAPI-TEMPO,fit_window_over_tau_warn_lt_1p0_count,127
FAPI-TEMPO,has_tau_source_status,True
FAPI-TEMPO,tau_source_status__qc_fail,173
FAPI-TEMPO,tau_source_status__ok,66
FAPI-TEMPO,has_fit_status,True
FAPI-TEMPO,fit_status__NA,239
