dataset,time_ms,t_s,growth_rate_um_per_s,growth_rate_px_per_s,growth_source_col,growth_source_units_inferred
FAPI_TEMPO,30.0,0.03,8.4112040331914,129.40313897217538,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,50.0,0.05,22.720275570428548,349.54270108351614,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,70.0,0.07,4.755518369916167,73.16182107563334,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,90.0,0.09,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,110.0,0.11,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,130.0,0.13,0.0389205691163456,0.598777986405317,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,150.0,0.15,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,170.0,0.17,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,190.0,0.19,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,210.0,0.21,0.1162302665204191,1.788157946467986,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,230.0,0.23,5.2750159430897945,81.15409143215068,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,250.0,0.25,3.5850679607475504,55.15489170380847,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,270.0,0.27,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,290.0,0.29,0.2404692037958899,3.69952621224446,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,310.0,0.31,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,330.0,0.33,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,350.0,0.35,0.0,0.0,median_um_per_s_clipped,um_per_s
FAPI_TEMPO,370.0,0.37,1.9935603492194551,30.670159218760848,median_um_per_s_clipped,um_per_s
