r_over_R,mean_veff_FAPI,std_veff_FAPI,cv_veff_FAPI,cv_band_FAPI,n_grains_FAPI,mean_ring_pixels_FAPI,std_ring_pixels_FAPI,mean_veff_FAPI_TEMPO,std_veff_FAPI_TEMPO,cv_veff_FAPI_TEMPO,cv_band_FAPI_TEMPO,n_grains_FAPI_TEMPO,mean_ring_pixels_FAPI_TEMPO,std_ring_pixels_FAPI_TEMPO
0.02,,,,,0,,,,,,,0,,
0.06,,,,,0,,,,,,,0,,
0.1,,,,,0,,,,,,,0,,
0.14,,,,,0,,,,,,,0,,
0.18,,,,,0,,,,,,,0,,
0.22,,,,,0,,,,,,,0,,
0.26,,,,,0,,,,,,,0,,
0.30000000000000004,,,,,0,,,,,,,0,,
0.33999999999999997,,,,,0,,,,,,,0,,
0.38,,,,,0,,,,,,,0,,
0.42000000000000004,,,,,0,,,,,,,0,,
0.45999999999999996,,,,,0,,,,,,,0,,
0.5,,,,,0,,,,,,,0,,
0.54,,,,,0,,,,,,,0,,
0.5800000000000001,,,,,0,,,,,,,0,,
0.62,,,,,0,,,,,,,0,,
0.66,,,,,0,,,,,,,0,,
0.7,,,,,0,,,,,,,0,,
0.74,,,,,0,,,,,,,0,,
0.78,,,,,0,,,,,,,0,,
0.8200000000000001,,,,,0,,,,,,,0,,
0.86,,,,,0,,,,,,,0,,
0.9,,,,,0,,,,,,,0,,
0.94,,,,,0,,,,,,,0,,
0.98,,,,,0,,,,,,,0,,
